crack_id, arr_index, theta, x, y, z, num_xtal, grain_id_1, phi1_1, Phi_1, phi2_1, weight_1, grain_id_2, phi1_2, Phi_2, phi2_2, weight_2, grain_id_3, phi1_3, Phi_3, phi2_3, weight_3, grain_id_4, phi1_4, Phi_4, phi2_4, weight_4, grain_id_5, phi1_5, Phi_5, phi2_5, weight_5, grain_id_6, phi1_6, Phi_6, phi2_6, weight_6, grain_id_7, phi1_7, Phi_7, phi2_7, weight_7, grain_id_8, phi1_8, Phi_8, phi2_8, weight_8, grain_id_9, phi1_9, Phi_9, phi2_9, weight_9, grain_id_10, phi1_10, Phi_10, phi2_10, weight_10, mis_1to2, mis_1to3, mis_1to4, mis_1to5, mis_1to6, mis_1to7, mis_1to8, mis_1to9, mis_1to10, mis_2to3, mis_2to4, mis_2to5, mis_2to6, mis_2to7, mis_2to8, mis_2to9, mis_2to10, mis_3to4, mis_3to5, mis_3to6, mis_3to7, mis_3to8, mis_3to9, mis_3to10, mis_4to5, mis_4to6, mis_4to7, mis_4to8, mis_4to9, mis_4to10, mis_5to6, mis_5to7, mis_5to8, mis_5to9, mis_5to10, mis_6to7, mis_6to8, mis_6to9, mis_6to10, mis_7to8, mis_7to9, mis_7to10, mis_8to9, mis_8to10, mis_9to10, dadN2D, dadN3Dline, dadNpath, tf_1, tf_2, tf_3, tf_4, tf_5, tf_6, tf_7, tf_8, tf_9, tf_10, tf_1to2, tf_1to3, tf_1to4, tf_1to5, tf_1to6, tf_1to7, tf_1to8, tf_1to9, tf_1to10, tf_2to3, tf_2to4, tf_2to5, tf_2to6, tf_2to7, tf_2to8, tf_2to9, tf_2to10, tf_3to4, tf_3to5, tf_3to6, tf_3to7, tf_3to8, tf_3to9, tf_3to10, tf_4to5, tf_4to6, tf_4to7, tf_4to8, tf_4to9, tf_4to10, tf_5to6, tf_5to7, tf_5to8, tf_5to9, tf_5to10, tf_6to7, tf_6to8, tf_6to9, tf_6to10, tf_7to8, tf_7to9, tf_7to10, tf_8to9, tf_8to10, tf_9to10, a, b, c, d, angle_gb, dist_gb, signed_dist_gb
1,0,0.0,0.0,336.0,306.0,3,260,0.612143,0.79839,5.262499,0.575809,288,5.003108,0.423611,1.146995,0.422487,755,0.744976,3.473729,3.838328,0.001704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48986,36.733752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001257,0.00126,0.001286,3.444725,2.638085,2.629798,,,,,,,,0.80664,0.814927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.678278,0.732648,-0.056272,-222.630439,0.748592,6.320055,6.320055
1,14,1.564926,49.561939,371.709045,313.723419,4,260,0.612143,0.79839,5.262499,0.505618,257,3.191666,0.588906,2.852357,0.257491,288,5.003108,0.423611,1.146995,0.11985,921,0.64729,3.350509,3.465177,0.117041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.363176,43.48986,53.253555,,,,,,,45.298031,54.681681,,,,,,,38.436346,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001015,0.001017,0.001021,3.444725,3.389895,2.638085,2.302481,,,,,,,0.054831,0.80664,1.142244,,,,,,,0.751809,1.087413,,,,,,,0.335604,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.930416,0.361158,-0.062379,-71.485004,0.373641,2.922283,-2.922283
1,34,2.766339,23.251322,431.025482,306.267487,8,257,3.191666,0.588906,2.852357,0.280402,393,3.674895,0.427056,3.104679,0.275377,286,4.753474,0.293662,1.683838,0.146734,289,0.583617,0.049955,5.168513,0.107538,288,5.003108,0.423611,1.146995,0.082412,540,3.38559,3.765373,5.859594,0.047236,260,0.612143,0.79839,5.262499,0.042211,337,3.406359,0.574217,3.628417,0.01809,,,,,,,,,,,41.936543,40.863344,39.609155,45.298031,40.540449,54.363176,,,,31.508081,41.223331,50.271209,18.322525,39.990435,19.854846,,,43.554355,19.478905,49.473177,54.654606,,,,,,43.422117,,,,55.800525,43.48986,51.271982,,,,5.452094,,,,,,,,,0.001545,0.001557,0.001606,3.389895,2.806577,2.546678,2.440328,2.638085,3.380761,3.444725,3.234572,,,0.583318,0.843217,0.949566,0.751809,0.009134,0.054831,,,,0.259899,0.366248,0.168491,0.574184,0.638149,0.427995,,,0.106349,0.091408,0.834083,0.898048,,,,,,1.004397,,,,0.742676,0.80664,0.596487,,,,0.146189,,,,,,,,,0.644815,-0.668671,0.370261,152.269336,1.176405,7.553195,-7.553195
2,0,0.0,0.0,324.0,312.0,4,260,0.612143,0.79839,5.262499,0.747871,288,5.003108,0.423611,1.146995,0.231687,391,2.874435,0.653539,3.711879,0.018739,755,0.744976,3.473729,3.838328,0.001704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48986,33.124695,36.733752,,,,,,,58.662727,,,,,,,,41.564221,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002433,0.002568,0.002677,3.444725,2.638085,3.42137,2.629798,,,,,,,0.80664,0.023355,0.814927,,,,,,,0.783285,,,,,,,,0.791572,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.640208,0.766977,-0.043347,-238.212834,0.69753,3.236552,-3.236552
2,5,1.894083,54.270828,390.182953,305.915771,5,260,0.612143,0.79839,5.262499,0.521739,257,3.191666,0.588906,2.852357,0.392271,288,5.003108,0.423611,1.146995,0.049275,921,0.64729,3.350509,3.465177,0.034783,393,3.674895,0.427056,3.104679,0.001932,,,,,,,,,,,,,,,,,,,,,,,,,,54.363176,43.48986,53.253555,39.990435,,,,,,45.298031,54.681681,41.936543,,,,,,38.436346,50.271209,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003208,0.003208,0.003217,3.444725,3.389895,2.638085,2.302481,2.806577,,,,,,0.054831,0.80664,1.142244,0.638149,,,,,,0.751809,1.087413,0.583318,,,,,,0.335604,0.168491,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.981518,0.189467,0.02693,-31.411438,0.514539,2.514127,-2.514127
2,32,0.980297,48.119705,339.746399,307.680328,4,260,0.612143,0.79839,5.262499,0.861293,288,5.003108,0.423611,1.146995,0.05717,257,3.191666,0.588906,2.852357,0.041237,921,0.64729,3.350509,3.465177,0.0403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48986,54.363176,53.253555,,,,,,,45.298031,38.436346,,,,,,,54.681681,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001016,0.001027,0.001056,3.444725,2.638085,3.389895,2.302481,,,,,,,0.80664,0.054831,1.142244,,,,,,,0.751809,0.335604,,,,,,,1.087413,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.817754,-0.555508,0.150626,128.889811,0.122359,25.85272,25.85272
2,52,2.921294,18.849459,456.174438,312.011444,8,286,4.753474,0.293662,1.683838,0.449786,289,0.583617,0.049955,5.168513,0.240385,393,3.674895,0.427056,3.104679,0.167735,257,3.191666,0.588906,2.852357,0.074786,125,5.702375,0.922475,0.716409,0.032051,540,3.38559,3.765373,5.859594,0.029915,260,0.612143,0.79839,5.262499,0.004274,287,0.24957,0.443788,5.677294,0.001068,,,,,,,,,,,43.554355,31.508081,40.863344,45.182092,49.473177,54.654606,46.344622,,,41.223331,39.609155,56.878361,,43.422117,24.905458,,,41.936543,,18.322525,39.990435,,,,,40.540449,54.363176,,,,,59.642781,53.306525,,,,,,,,,,,,,0.002821,0.002829,0.002871,2.546678,2.440328,2.806577,3.389895,2.957013,3.380761,3.444725,2.761248,,,0.106349,0.259899,0.843217,0.410335,0.834083,0.898048,0.21457,,,0.366248,0.949566,0.516684,,1.004397,0.320919,,,0.583318,,0.574184,0.638149,,,,,0.009134,0.054831,,,,,0.487713,0.195765,,,,,,,,,,,,,0.974358,-0.051738,-0.218972,66.513777,1.42345,7.043428,-7.043428
3,0,0.0,0.0,300.0,300.0,5,260,0.612143,0.79839,5.262499,0.751278,391,2.874435,0.653539,3.711879,0.156729,394,1.624092,0.189887,4.091087,0.069847,288,5.003108,0.423611,1.146995,0.020443,755,0.744976,3.473729,3.838328,0.001704,,,,,,,,,,,,,,,,,,,,,,,,,,33.124695,42.724232,43.48986,36.733752,,,,,,55.541448,58.662727,41.564221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005999,0.005999,0.006019,3.444725,3.42137,2.386477,2.638085,2.629798,,,,,,0.023355,1.058248,0.80664,0.814927,,,,,,1.034893,0.783285,0.791572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.414398,-0.871684,0.261613,173.760919,0.560579,9.260381,-9.260381
3,12,0.734269,54.399101,311.732971,300.631226,2,260,0.612143,0.79839,5.262499,0.983902,394,1.624092,0.189887,4.091087,0.016098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.724232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004722,0.005011,0.005296,3.444725,2.386477,,,,,,,,,1.058248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.481782,0.845288,-0.231027,-190.259886,1.277874,29.998843,29.998843
3,49,1.624855,82.996819,376.491089,317.246796,3,260,0.612143,0.79839,5.262499,0.904225,921,0.64729,3.350509,3.465177,0.069484,257,3.191666,0.588906,2.852357,0.026291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.253555,54.363176,,,,,,,,54.681681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001844,0.001866,0.001888,3.444725,2.302481,3.389895,,,,,,,,1.142244,0.054831,,,,,,,,1.087413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.687569,-0.129812,0.714421,-144.925354,0.937854,24.216686,-24.216686
