crack_id, arr_index, theta, x, y, z, num_xtal, grain_id_1, phi1_1, Phi_1, phi2_1, weight_1, grain_id_2, phi1_2, Phi_2, phi2_2, weight_2, grain_id_3, phi1_3, Phi_3, phi2_3, weight_3, grain_id_4, phi1_4, Phi_4, phi2_4, weight_4, grain_id_5, phi1_5, Phi_5, phi2_5, weight_5, grain_id_6, phi1_6, Phi_6, phi2_6, weight_6, grain_id_7, phi1_7, Phi_7, phi2_7, weight_7, grain_id_8, phi1_8, Phi_8, phi2_8, weight_8, grain_id_9, phi1_9, Phi_9, phi2_9, weight_9, grain_id_10, phi1_10, Phi_10, phi2_10, weight_10, mis_1to2, mis_1to3, mis_1to4, mis_1to5, mis_1to6, mis_1to7, mis_1to8, mis_1to9, mis_1to10, mis_2to3, mis_2to4, mis_2to5, mis_2to6, mis_2to7, mis_2to8, mis_2to9, mis_2to10, mis_3to4, mis_3to5, mis_3to6, mis_3to7, mis_3to8, mis_3to9, mis_3to10, mis_4to5, mis_4to6, mis_4to7, mis_4to8, mis_4to9, mis_4to10, mis_5to6, mis_5to7, mis_5to8, mis_5to9, mis_5to10, mis_6to7, mis_6to8, mis_6to9, mis_6to10, mis_7to8, mis_7to9, mis_7to10, mis_8to9, mis_8to10, mis_9to10, dadN2D, dadN3Dline, dadNpath, tf_1, tf_2, tf_3, tf_4, tf_5, tf_6, tf_7, tf_8, tf_9, tf_10, tf_1to2, tf_1to3, tf_1to4, tf_1to5, tf_1to6, tf_1to7, tf_1to8, tf_1to9, tf_1to10, tf_2to3, tf_2to4, tf_2to5, tf_2to6, tf_2to7, tf_2to8, tf_2to9, tf_2to10, tf_3to4, tf_3to5, tf_3to6, tf_3to7, tf_3to8, tf_3to9, tf_3to10, tf_4to5, tf_4to6, tf_4to7, tf_4to8, tf_4to9, tf_4to10, tf_5to6, tf_5to7, tf_5to8, tf_5to9, tf_5to10, tf_6to7, tf_6to8, tf_6to9, tf_6to10, tf_7to8, tf_7to9, tf_7to10, tf_8to9, tf_8to10, tf_9to10, a, b, c, d, angle_gb, dist_gb, signed_dist_gb
1,0,0.0,0.0,336.0,306.0,2,288,5.003108,0.423611,1.146995,0.503268,260,0.612143,0.79839,5.262499,0.496732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001257,0.00126,0.001286,2.638085,3.444725,,,,,,,,,0.80664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.569004,0.793683,-0.215179,-195.450789,0.653957,5.381924,5.381924
1,2,1.745363,50.251972,380.862518,306.385986,4,257,3.191666,0.588906,2.852357,0.520446,260,0.612143,0.79839,5.262499,0.449814,288,5.003108,0.423611,1.146995,0.026022,921,0.64729,3.350509,3.465177,0.003717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.363176,45.298031,54.681681,,,,,,,43.48986,53.253555,,,,,,,38.436346,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000671,0.000682,0.00071,3.389895,3.444725,2.638085,2.302481,,,,,,,0.054831,0.751809,1.087413,,,,,,,0.80664,1.142244,,,,,,,0.335604,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.919555,0.256307,-0.297869,41.100173,0.52904,1.245563,1.245563
1,12,2.586594,29.643913,419.812469,305.553497,7,257,3.191666,0.588906,2.852357,0.562992,393,3.674895,0.427056,3.104679,0.30315,288,5.003108,0.423611,1.146995,0.051181,540,3.38559,3.765373,5.859594,0.03937,337,3.406359,0.574217,3.628417,0.035433,260,0.612143,0.79839,5.262499,0.003937,289,0.583617,0.049955,5.168513,0.003937,,,,,,,,,,,,,,,,41.936543,45.298031,40.540449,,54.363176,39.609155,,,,50.271209,18.322525,19.854846,39.990435,41.223331,,,,55.800525,51.271982,43.48986,,,,,5.452094,,,,,,,,,,,43.422117,,,,,,,,,,0.001882,0.001891,0.001908,3.389895,2.806577,2.638085,3.380761,3.234572,3.444725,2.440328,,,,0.583318,0.751809,0.009134,,0.054831,0.949566,,,,0.168491,0.574184,0.427995,0.638149,0.366248,,,,0.742676,0.596487,0.80664,,,,,0.146189,,,,,,,,,,,1.004397,,,,,,,,,,0.636473,-0.62124,0.457125,105.081852,1.373284,2.821246,2.821246
1,28,1.014108,41.77597,346.000916,313.200073,4,260,0.612143,0.79839,5.262499,0.855019,257,3.191666,0.588906,2.852357,0.074349,288,5.003108,0.423611,1.146995,0.040892,921,0.64729,3.350509,3.465177,0.02974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.363176,43.48986,53.253555,,,,,,,45.298031,54.681681,,,,,,,38.436346,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001107,0.001213,0.001277,3.444725,3.389895,2.638085,2.302481,,,,,,,0.054831,0.80664,1.142244,,,,,,,0.751809,1.087413,,,,,,,0.335604,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142092,0.974799,-0.171977,-302.00881,1.142669,12.654645,-12.654645
2,0,0.0,0.0,324.0,312.0,2,260,0.612143,0.79839,5.262499,0.810458,288,5.003108,0.423611,1.146995,0.189542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002433,0.002568,0.002677,3.444725,2.638085,,,,,,,,,0.80664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.283287,-0.939546,0.192358,255.617119,0.297235,11.219912,11.219912
2,2,1.678198,60.663406,378.540527,306.377747,3,260,0.612143,0.79839,5.262499,0.736434,257,3.191666,0.588906,2.852357,0.25969,921,0.64729,3.350509,3.465177,0.003876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.363176,53.253555,,,,,,,,54.681681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002719,0.002722,0.002888,3.444725,3.389895,2.302481,,,,,,,,0.054831,1.142244,,,,,,,,1.087413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.947835,-0.221057,0.229655,-36.273324,0.402507,7.907728,7.907728
2,13,2.48995,40.824345,425.519104,305.038666,4,257,3.191666,0.588906,2.852357,0.5,393,3.674895,0.427056,3.104679,0.278195,260,0.612143,0.79839,5.262499,0.184211,289,0.583617,0.049955,5.168513,0.037594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.936543,54.363176,39.609155,,,,,,,39.990435,41.223331,,,,,,,43.422117,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001969,0.001979,0.001986,3.389895,2.806577,3.444725,2.440328,,,,,,,0.583318,0.054831,0.949566,,,,,,,0.638149,0.366248,,,,,,,1.004397,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.649369,-0.685815,0.328599,170.940878,1.414032,5.85896,5.85896
2,21,0.537767,35.129246,313.097687,304.294189,1,260,0.612143,0.79839,5.262499,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003179,0.003289,0.003373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,39,1.168503,53.64547,349.173889,316.763611,3,260,0.612143,0.79839,5.262499,0.840149,921,0.64729,3.350509,3.465177,0.100372,257,3.191666,0.588906,2.852357,0.05948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.253555,54.363176,,,,,,,,54.681681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002258,0.002268,0.002328,3.444725,2.302481,3.389895,,,,,,,,1.142244,0.054831,,,,,,,,1.087413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013272,0.336285,0.941667,-429.832654,1.517273,13.412888,-13.412888
2,54,2.940326,18.187605,461.142029,312.552551,3,286,4.753474,0.293662,1.683838,0.628352,289,0.583617,0.049955,5.168513,0.272031,393,3.674895,0.427056,3.104679,0.099617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.554355,31.508081,,,,,,,,41.223331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002825,0.002834,0.002874,2.546678,2.440328,2.806577,,,,,,,,0.106349,0.259899,,,,,,,,0.366248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.977309,0.135826,0.162538,-90.208425,1.520321,5.453408,5.453408
