crack_id, arr_index, theta, x, y, z, num_xtal, grain_id_1, phi1_1, Phi_1, phi2_1, weight_1, grain_id_2, phi1_2, Phi_2, phi2_2, weight_2, grain_id_3, phi1_3, Phi_3, phi2_3, weight_3, grain_id_4, phi1_4, Phi_4, phi2_4, weight_4, grain_id_5, phi1_5, Phi_5, phi2_5, weight_5, grain_id_6, phi1_6, Phi_6, phi2_6, weight_6, grain_id_7, phi1_7, Phi_7, phi2_7, weight_7, grain_id_8, phi1_8, Phi_8, phi2_8, weight_8, grain_id_9, phi1_9, Phi_9, phi2_9, weight_9, grain_id_10, phi1_10, Phi_10, phi2_10, weight_10, mis_1to2, mis_1to3, mis_1to4, mis_1to5, mis_1to6, mis_1to7, mis_1to8, mis_1to9, mis_1to10, mis_2to3, mis_2to4, mis_2to5, mis_2to6, mis_2to7, mis_2to8, mis_2to9, mis_2to10, mis_3to4, mis_3to5, mis_3to6, mis_3to7, mis_3to8, mis_3to9, mis_3to10, mis_4to5, mis_4to6, mis_4to7, mis_4to8, mis_4to9, mis_4to10, mis_5to6, mis_5to7, mis_5to8, mis_5to9, mis_5to10, mis_6to7, mis_6to8, mis_6to9, mis_6to10, mis_7to8, mis_7to9, mis_7to10, mis_8to9, mis_8to10, mis_9to10, dadN2D, dadN3Dline, dadNpath, tf_1, tf_2, tf_3, tf_4, tf_5, tf_6, tf_7, tf_8, tf_9, tf_10, tf_1to2, tf_1to3, tf_1to4, tf_1to5, tf_1to6, tf_1to7, tf_1to8, tf_1to9, tf_1to10, tf_2to3, tf_2to4, tf_2to5, tf_2to6, tf_2to7, tf_2to8, tf_2to9, tf_2to10, tf_3to4, tf_3to5, tf_3to6, tf_3to7, tf_3to8, tf_3to9, tf_3to10, tf_4to5, tf_4to6, tf_4to7, tf_4to8, tf_4to9, tf_4to10, tf_5to6, tf_5to7, tf_5to8, tf_5to9, tf_5to10, tf_6to7, tf_6to8, tf_6to9, tf_6to10, tf_7to8, tf_7to9, tf_7to10, tf_8to9, tf_8to10, tf_9to10, a, b, c, d, angle_gb, dist_gb, signed_dist_gb
1,0,0.0,0.0,336.0,306.0,4,260,0.612143,0.79839,5.262499,0.586608,288,5.003108,0.423611,1.146995,0.41048,257,3.191666,0.588906,2.852357,0.001456,755,0.744976,3.473729,3.838328,0.001456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48986,54.363176,36.733752,,,,,,,45.298031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001257,0.00126,0.001286,3.444725,2.638085,3.389895,2.629798,,,,,,,0.80664,0.054831,0.814927,,,,,,,0.751809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.687216,0.724598,-0.051881,-221.051728,0.760345,6.537615,6.537615
1,15,1.572167,54.489761,372.074677,312.090454,4,260,0.612143,0.79839,5.262499,0.589928,257,3.191666,0.588906,2.852357,0.223821,921,0.64729,3.350509,3.465177,0.104716,288,5.003108,0.423611,1.146995,0.081535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.363176,53.253555,43.48986,,,,,,,54.681681,45.298031,,,,,,,38.436346,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001008,0.001009,0.001016,3.444725,3.389895,2.302481,2.638085,,,,,,,0.054831,1.142244,0.80664,,,,,,,1.087413,0.751809,,,,,,,0.335604,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.946554,0.322094,-0.017034,-70.24282,0.341811,7.293452,-7.293452
1,36,2.884474,17.137705,437.177582,306.110809,8,393,3.674895,0.427056,3.104679,0.27804,286,4.753474,0.293662,1.683838,0.239397,257,3.191666,0.588906,2.852357,0.202639,289,0.583617,0.049955,5.168513,0.131008,288,5.003108,0.423611,1.146995,0.068803,540,3.38559,3.765373,5.859594,0.044298,260,0.612143,0.79839,5.262499,0.01885,337,3.406359,0.574217,3.628417,0.016965,,,,,,,,,,,31.508081,41.936543,41.223331,50.271209,18.322525,39.990435,19.854846,,,40.863344,43.554355,19.478905,49.473177,54.654606,,,,39.609155,45.298031,40.540449,54.363176,,,,,,43.422117,,,,55.800525,43.48986,51.271982,,,,5.452094,,,,,,,,,0.001693,0.001814,0.001876,2.806577,2.546678,3.389895,2.440328,2.638085,3.380761,3.444725,3.234572,,,0.259899,0.583318,0.366248,0.168491,0.574184,0.638149,0.427995,,,0.843217,0.106349,0.091408,0.834083,0.898048,,,,0.949566,0.751809,0.009134,0.054831,,,,,,1.004397,,,,0.742676,0.80664,0.596487,,,,0.146189,,,,,,,,,-0.781796,0.597463,0.178416,-310.082613,1.181747,7.668309,-7.668309
2,0,0.0,0.0,324.0,312.0,4,260,0.612143,0.79839,5.262499,0.740902,288,5.003108,0.423611,1.146995,0.234352,391,2.874435,0.653539,3.711879,0.02329,755,0.744976,3.473729,3.838328,0.001456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48986,33.124695,36.733752,,,,,,,58.662727,,,,,,,,41.564221,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002433,0.002568,0.002677,3.444725,2.638085,3.42137,2.629798,,,,,,,0.80664,0.023355,0.814927,,,,,,,0.783285,,,,,,,,0.791572,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.669959,0.74161,-0.034184,-232.177828,0.737542,2.561597,-2.561597
2,7,2.076724,54.244877,402.052948,306.014282,6,260,0.612143,0.79839,5.262499,0.506894,257,3.191666,0.588906,2.852357,0.403893,288,5.003108,0.423611,1.146995,0.038929,393,3.674895,0.427056,3.104679,0.032441,921,0.64729,3.350509,3.465177,0.017032,289,0.583617,0.049955,5.168513,0.000811,,,,,,,,,,,,,,,,,,,,,54.363176,43.48986,39.990435,53.253555,43.422117,,,,,45.298031,41.936543,54.681681,39.609155,,,,,50.271209,38.436346,,,,,,,41.223331,,,,,,,,,,,,,,,,,,,,0.003166,0.003175,0.003223,3.444725,3.389895,2.638085,2.806577,2.302481,2.440328,,,,,0.054831,0.80664,0.638149,1.142244,1.004397,,,,,0.751809,0.583318,1.087413,0.949566,,,,,0.168491,0.335604,,,,,,,0.366248,,,,,,,,,,,,,,,,,,,,0.996527,-0.072654,-0.040695,-11.458393,0.579989,0.934085,0.934085
2,36,1.016243,48.332344,342.063538,312.39743,4,260,0.612143,0.79839,5.262499,0.796311,921,0.64729,3.350509,3.465177,0.080994,288,5.003108,0.423611,1.146995,0.075381,257,3.191666,0.588906,2.852357,0.047314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.253555,43.48986,54.363176,,,,,,,38.436346,54.681681,,,,,,,45.298031,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000932,0.000935,0.000944,3.444725,2.302481,2.638085,3.389895,,,,,,,1.142244,0.80664,0.054831,,,,,,,0.335604,1.087413,,,,,,,0.751809,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086007,0.442789,0.892491,-458.428662,1.511526,23.997882,-23.997882
2,48,3.013556,11.274411,459.574219,306.858063,7,286,4.753474,0.293662,1.683838,0.513889,289,0.583617,0.049955,5.168513,0.220085,393,3.674895,0.427056,3.104679,0.184829,257,3.191666,0.588906,2.852357,0.025641,125,5.702375,0.922475,0.716409,0.025641,540,3.38559,3.765373,5.859594,0.025641,287,0.24957,0.443788,5.677294,0.004274,,,,,,,,,,,,,,,,43.554355,31.508081,40.863344,45.182092,49.473177,46.344622,,,,41.223331,39.609155,56.878361,,24.905458,,,,41.936543,,18.322525,,,,,,40.540449,,,,,,53.306525,,,,,,,,,,,,,,0.002751,0.002764,0.002794,2.546678,2.440328,2.806577,3.389895,2.957013,3.380761,2.761248,,,,0.106349,0.259899,0.843217,0.410335,0.834083,0.21457,,,,0.366248,0.949566,0.516684,,0.320919,,,,0.583318,,0.574184,,,,,,0.009134,,,,,,0.195765,,,,,,,,,,,,,,-0.986545,0.084012,0.140255,-57.473746,1.529504,13.051664,13.051664
3,0,0.0,0.0,300.0,300.0,5,260,0.612143,0.79839,5.262499,0.739447,391,2.874435,0.653539,3.711879,0.158661,394,1.624092,0.189887,4.091087,0.077147,288,5.003108,0.423611,1.146995,0.02329,755,0.744976,3.473729,3.838328,0.001456,,,,,,,,,,,,,,,,,,,,,,,,,,33.124695,42.724232,43.48986,36.733752,,,,,,55.541448,58.662727,41.564221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005999,0.005999,0.006019,3.444725,3.42137,2.386477,2.638085,2.629798,,,,,,0.023355,1.058248,0.80664,0.814927,,,,,,1.034893,0.783285,0.791572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.393567,-0.883844,0.252835,179.774521,0.53593,9.528175,-9.528175
3,14,2.508185,48.637268,438.232025,300.584198,9,260,0.612143,0.79839,5.262499,0.295056,289,0.583617,0.049955,5.168513,0.275917,257,3.191666,0.588906,2.852357,0.194577,393,3.674895,0.427056,3.104679,0.162679,125,5.702375,0.922475,0.716409,0.046252,286,4.753474,0.293662,1.683838,0.020734,337,3.406359,0.574217,3.628417,0.002392,288,5.003108,0.423611,1.146995,0.001595,540,3.38559,3.765373,5.859594,0.000797,,,,,,43.422117,54.363176,39.990435,59.642781,54.654606,,43.48986,,,39.609155,41.223331,56.878361,43.554355,,,,,41.936543,,40.863344,,45.298031,40.540449,,,31.508081,19.854846,50.271209,18.322525,,45.182092,,,,,,19.478905,49.473177,,51.271982,5.452094,,55.800525,,,0.004116,0.004138,0.00426,3.444725,2.440328,3.389895,2.806577,2.957013,2.546678,3.234572,2.638085,3.380761,,1.004397,0.054831,0.638149,0.487713,0.898048,,0.80664,,,0.949566,0.366248,0.516684,0.106349,,,,,0.583318,,0.843217,,0.751809,0.009134,,,0.259899,0.427995,0.168491,0.574184,,0.410335,,,,,,0.091408,0.834083,,0.596487,0.146189,,0.742676,,,0.368603,-0.903367,0.219228,314.310602,1.020116,2.250567,2.250567
3,17,0.785476,53.908501,318.099884,305.614258,4,260,0.612143,0.79839,5.262499,0.983962,394,1.624092,0.189887,4.091087,0.009623,921,0.64729,3.350509,3.465177,0.00401,257,3.191666,0.588906,2.852357,0.002406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.724232,53.253555,54.363176,,,,,,,39.393785,,,,,,,,54.681681,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004513,0.004825,0.005129,3.444725,2.386477,2.302481,3.389895,,,,,,,1.058248,1.142244,0.054831,,,,,,,0.083996,,,,,,,,1.087413,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.425195,-0.883649,0.195893,210.601487,1.241784,33.541082,-33.541082
