crack_id, arr_index, theta, x, y, z, num_xtal, grain_id_1, phi1_1, Phi_1, phi2_1, weight_1, grain_id_2, phi1_2, Phi_2, phi2_2, weight_2, grain_id_3, phi1_3, Phi_3, phi2_3, weight_3, grain_id_4, phi1_4, Phi_4, phi2_4, weight_4, grain_id_5, phi1_5, Phi_5, phi2_5, weight_5, grain_id_6, phi1_6, Phi_6, phi2_6, weight_6, grain_id_7, phi1_7, Phi_7, phi2_7, weight_7, grain_id_8, phi1_8, Phi_8, phi2_8, weight_8, grain_id_9, phi1_9, Phi_9, phi2_9, weight_9, grain_id_10, phi1_10, Phi_10, phi2_10, weight_10, mis_1to2, mis_1to3, mis_1to4, mis_1to5, mis_1to6, mis_1to7, mis_1to8, mis_1to9, mis_1to10, mis_2to3, mis_2to4, mis_2to5, mis_2to6, mis_2to7, mis_2to8, mis_2to9, mis_2to10, mis_3to4, mis_3to5, mis_3to6, mis_3to7, mis_3to8, mis_3to9, mis_3to10, mis_4to5, mis_4to6, mis_4to7, mis_4to8, mis_4to9, mis_4to10, mis_5to6, mis_5to7, mis_5to8, mis_5to9, mis_5to10, mis_6to7, mis_6to8, mis_6to9, mis_6to10, mis_7to8, mis_7to9, mis_7to10, mis_8to9, mis_8to10, mis_9to10, dadN2D, dadN3Dline, dadNpath, tf_1, tf_2, tf_3, tf_4, tf_5, tf_6, tf_7, tf_8, tf_9, tf_10, tf_1to2, tf_1to3, tf_1to4, tf_1to5, tf_1to6, tf_1to7, tf_1to8, tf_1to9, tf_1to10, tf_2to3, tf_2to4, tf_2to5, tf_2to6, tf_2to7, tf_2to8, tf_2to9, tf_2to10, tf_3to4, tf_3to5, tf_3to6, tf_3to7, tf_3to8, tf_3to9, tf_3to10, tf_4to5, tf_4to6, tf_4to7, tf_4to8, tf_4to9, tf_4to10, tf_5to6, tf_5to7, tf_5to8, tf_5to9, tf_5to10, tf_6to7, tf_6to8, tf_6to9, tf_6to10, tf_7to8, tf_7to9, tf_7to10, tf_8to9, tf_8to10, tf_9to10, a, b, c, d, angle_gb, dist_gb, signed_dist_gb
1,0,0.0,0.0,336.0,306.0,4,260,0.612143,0.79839,5.262499,0.595663,288,5.003108,0.423611,1.146995,0.401786,257,3.191666,0.588906,2.852357,0.001276,755,0.744976,3.473729,3.838328,0.001276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48986,54.363176,36.733752,,,,,,,45.298031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001257,0.00126,0.001286,3.444725,2.638085,3.389895,2.629798,,,,,,,0.80664,0.054831,0.814927,,,,,,,0.751809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.678086,0.733455,-0.04736,-225.421316,0.747405,6.527405,6.527405
1,16,1.663781,52.660042,376.910736,311.959076,4,260,0.612143,0.79839,5.262499,0.539916,257,3.191666,0.588906,2.852357,0.257003,288,5.003108,0.423611,1.146995,0.108543,921,0.64729,3.350509,3.465177,0.094538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.363176,43.48986,53.253555,,,,,,,45.298031,54.681681,,,,,,,38.436346,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000804,0.000825,0.000864,3.444725,3.389895,2.638085,2.302481,,,,,,,0.054831,0.80664,1.142244,,,,,,,0.751809,1.087413,,,,,,,0.335604,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.962042,0.271626,0.02637,-64.082975,0.392781,4.139029,-4.139029
1,30,3.052458,5.878739,437.778839,306.105133,7,286,4.753474,0.293662,1.683838,0.307692,393,3.674895,0.427056,3.104679,0.302198,257,3.191666,0.588906,2.852357,0.137363,288,5.003108,0.423611,1.146995,0.094505,289,0.583617,0.049955,5.168513,0.086813,540,3.38559,3.765373,5.859594,0.051648,337,3.406359,0.574217,3.628417,0.01978,,,,,,,,,,,,,,,,31.508081,40.863344,19.478905,43.554355,49.473177,,,,,41.936543,50.271209,41.223331,18.322525,19.854846,,,,45.298031,39.609155,40.540449,,,,,,55.800525,51.271982,,,,,,,,,5.452094,,,,,,,,,,0.002266,0.002282,0.002304,2.546678,2.806577,3.389895,2.638085,2.440328,3.380761,3.234572,,,,0.259899,0.843217,0.091408,0.106349,0.834083,,,,,0.583318,0.168491,0.366248,0.574184,0.427995,,,,0.751809,0.949566,0.009134,,,,,,0.742676,0.596487,,,,,,,,,0.146189,,,,,,,,,,-0.779421,0.595588,0.194364,-314.228517,1.019078,1.421112,1.421112
2,0,0.0,0.0,324.0,312.0,4,260,0.612143,0.79839,5.262499,0.734694,288,5.003108,0.423611,1.146995,0.237245,391,2.874435,0.653539,3.711879,0.026786,755,0.744976,3.473729,3.838328,0.001276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48986,33.124695,36.733752,,,,,,,58.662727,,,,,,,,41.564221,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002433,0.002568,0.002677,3.444725,2.638085,3.42137,2.629798,,,,,,,0.80664,0.023355,0.814927,,,,,,,0.783285,,,,,,,,0.791572,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.668812,0.742723,-0.032442,-233.035114,0.736221,2.514767,-2.514767
2,8,2.214814,49.0812,408.850555,306.093109,8,260,0.612143,0.79839,5.262499,0.419649,257,3.191666,0.588906,2.852357,0.393684,393,3.674895,0.427056,3.104679,0.087018,288,5.003108,0.423611,1.146995,0.061754,289,0.583617,0.049955,5.168513,0.014737,337,3.406359,0.574217,3.628417,0.009123,921,0.64729,3.350509,3.465177,0.008421,540,3.38559,3.765373,5.859594,0.005614,,,,,,,,,,,54.363176,39.990435,43.48986,43.422117,,53.253555,,,,41.936543,45.298031,39.609155,,54.681681,40.540449,,,50.271209,41.223331,19.854846,,18.322525,,,,51.271982,38.436346,55.800525,,,,,,,,,5.452094,,,,,,,,,0.003295,0.003298,0.003375,3.444725,3.389895,2.806577,2.638085,2.440328,3.234572,2.302481,3.380761,,,0.054831,0.638149,0.80664,1.004397,,1.142244,,,,0.583318,0.751809,0.949566,,1.087413,0.009134,,,0.168491,0.366248,0.427995,,0.574184,,,,0.596487,0.335604,0.742676,,,,,,,,,0.146189,,,,,,,,,-0.998037,0.043631,0.044938,21.869035,0.689044,4.47795,4.47795
2,37,1.08759,53.553543,343.900818,310.719147,4,260,0.612143,0.79839,5.262499,0.817039,921,0.64729,3.350509,3.465177,0.078911,257,3.191666,0.588906,2.852357,0.053771,288,5.003108,0.423611,1.146995,0.050279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.253555,54.363176,43.48986,,,,,,,54.681681,38.436346,,,,,,,45.298031,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001594,0.001598,0.001635,3.444725,2.302481,3.389895,2.638085,,,,,,,1.142244,0.054831,0.80664,,,,,,,1.087413,0.335604,,,,,,,0.751809,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.052131,0.426399,0.903032,-449.656777,1.396632,25.220272,-25.220272
3,0,0.0,0.0,300.0,300.0,5,260,0.612143,0.79839,5.262499,0.729592,391,2.874435,0.653539,3.711879,0.159439,394,1.624092,0.189887,4.091087,0.084184,288,5.003108,0.423611,1.146995,0.02551,755,0.744976,3.473729,3.838328,0.001276,,,,,,,,,,,,,,,,,,,,,,,,,,33.124695,42.724232,43.48986,36.733752,,,,,,55.541448,58.662727,41.564221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005999,0.005999,0.006019,3.444725,3.42137,2.386477,2.638085,2.629798,,,,,,0.023355,1.058248,0.80664,0.814927,,,,,,1.034893,0.783285,0.791572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.38428,-0.888539,0.250655,181.734118,0.526336,9.631079,-9.631079
3,18,0.843957,54.277031,323.734619,306.13446,5,260,0.612143,0.79839,5.262499,0.971983,921,0.64729,3.350509,3.465177,0.013649,257,3.191666,0.588906,2.852357,0.008621,288,5.003108,0.423611,1.146995,0.00431,394,1.624092,0.189887,4.091087,0.001437,,,,,,,,,,,,,,,,,,,,,,,,,,53.253555,54.363176,43.48986,42.724232,,,,,,54.681681,38.436346,39.393785,,,,,,45.298031,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004052,0.004485,0.004858,3.444725,2.302481,3.389895,2.638085,2.386477,,,,,,1.142244,0.054831,0.80664,1.058248,,,,,,1.087413,0.335604,0.083996,,,,,,0.751809,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.174326,0.392679,0.903003,-426.855345,1.170667,32.753108,-32.753108
3,25,1.723973,90.5896,385.985809,305.405151,3,260,0.612143,0.79839,5.262499,0.974913,257,3.191666,0.588906,2.852357,0.015331,921,0.64729,3.350509,3.465177,0.009756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.363176,53.253555,,,,,,,,54.681681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00155,0.001618,0.001814,3.444725,3.389895,2.302481,,,,,,,,0.054831,1.142244,,,,,,,,1.087413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.998601,0.038821,-0.035914,52.348277,0.196626,34.098539,-34.098539
3,78,2.611794,42.350605,444.31427,305.875793,9,289,0.583617,0.049955,5.168513,0.268625,260,0.612143,0.79839,5.262499,0.194126,257,3.191666,0.588906,2.852357,0.182665,393,3.674895,0.427056,3.104679,0.155444,286,4.753474,0.293662,1.683838,0.109599,125,5.702375,0.922475,0.716409,0.074499,540,3.38559,3.765373,5.859594,0.010029,337,3.406359,0.574217,3.628417,0.003582,288,5.003108,0.423611,1.146995,0.001433,,,,,,43.422117,39.609155,41.223331,43.554355,56.878361,,,,,54.363176,39.990435,54.654606,59.642781,,,43.48986,,41.936543,40.863344,,40.540449,,45.298031,,31.508081,,18.322525,19.854846,50.271209,,45.182092,49.473177,,19.478905,,,,,,5.452094,55.800525,,51.271982,,,0.003601,0.003731,0.004706,2.440328,3.444725,3.389895,2.806577,2.546678,2.957013,3.380761,3.234572,2.638085,,1.004397,0.949566,0.366248,0.106349,0.516684,,,,,0.054831,0.638149,0.898048,0.487713,,,0.80664,,0.583318,0.843217,,0.009134,,0.751809,,0.259899,,0.574184,0.427995,0.168491,,0.410335,0.834083,,0.091408,,,,,,0.146189,0.742676,,0.596487,,,0.424712,-0.886125,0.185477,313.866871,0.988088,5.131378,-5.131378
