crack_id, arr_index, theta, x, y, z, num_xtal, grain_id_1, phi1_1, Phi_1, phi2_1, weight_1, grain_id_2, phi1_2, Phi_2, phi2_2, weight_2, grain_id_3, phi1_3, Phi_3, phi2_3, weight_3, grain_id_4, phi1_4, Phi_4, phi2_4, weight_4, grain_id_5, phi1_5, Phi_5, phi2_5, weight_5, grain_id_6, phi1_6, Phi_6, phi2_6, weight_6, grain_id_7, phi1_7, Phi_7, phi2_7, weight_7, grain_id_8, phi1_8, Phi_8, phi2_8, weight_8, grain_id_9, phi1_9, Phi_9, phi2_9, weight_9, grain_id_10, phi1_10, Phi_10, phi2_10, weight_10, mis_1to2, mis_1to3, mis_1to4, mis_1to5, mis_1to6, mis_1to7, mis_1to8, mis_1to9, mis_1to10, mis_2to3, mis_2to4, mis_2to5, mis_2to6, mis_2to7, mis_2to8, mis_2to9, mis_2to10, mis_3to4, mis_3to5, mis_3to6, mis_3to7, mis_3to8, mis_3to9, mis_3to10, mis_4to5, mis_4to6, mis_4to7, mis_4to8, mis_4to9, mis_4to10, mis_5to6, mis_5to7, mis_5to8, mis_5to9, mis_5to10, mis_6to7, mis_6to8, mis_6to9, mis_6to10, mis_7to8, mis_7to9, mis_7to10, mis_8to9, mis_8to10, mis_9to10, dadN2D, dadN3Dline, dadNpath, tf_1, tf_2, tf_3, tf_4, tf_5, tf_6, tf_7, tf_8, tf_9, tf_10, tf_1to2, tf_1to3, tf_1to4, tf_1to5, tf_1to6, tf_1to7, tf_1to8, tf_1to9, tf_1to10, tf_2to3, tf_2to4, tf_2to5, tf_2to6, tf_2to7, tf_2to8, tf_2to9, tf_2to10, tf_3to4, tf_3to5, tf_3to6, tf_3to7, tf_3to8, tf_3to9, tf_3to10, tf_4to5, tf_4to6, tf_4to7, tf_4to8, tf_4to9, tf_4to10, tf_5to6, tf_5to7, tf_5to8, tf_5to9, tf_5to10, tf_6to7, tf_6to8, tf_6to9, tf_6to10, tf_7to8, tf_7to9, tf_7to10, tf_8to9, tf_8to10, tf_9to10, a, b, c, d, angle_gb, dist_gb, signed_dist_gb
1,0,0.0,0.0,336.0,306.0,2,260,0.612143,0.79839,5.262499,0.556497,288,5.003108,0.423611,1.146995,0.443503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001257,0.00126,0.001286,3.444725,2.638085,,,,,,,,,0.80664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.668218,-0.738224,0.092252,213.834041,0.740363,5.98011,-5.98011
1,9,2.360071,34.881676,407.153198,305.834076,6,257,3.191666,0.588906,2.852357,0.581395,288,5.003108,0.423611,1.146995,0.155039,260,0.612143,0.79839,5.262499,0.111628,393,3.674895,0.427056,3.104679,0.110078,337,3.406359,0.574217,3.628417,0.026357,540,3.38559,3.765373,5.859594,0.015504,,,,,,,,,,,,,,,,,,,,,45.298031,54.363176,41.936543,,40.540449,,,,,43.48986,50.271209,51.271982,55.800525,,,,,39.990435,,,,,,,19.854846,18.322525,,,,,5.452094,,,,,,,,,,,,,,,0.001594,0.00163,0.001661,3.389895,2.638085,3.444725,2.806577,3.234572,3.380761,,,,,0.751809,0.054831,0.583318,,0.009134,,,,,0.80664,0.168491,0.596487,0.742676,,,,,0.638149,,,,,,,0.427995,0.574184,,,,,0.146189,,,,,,,,,,,,,,,0.933582,0.357456,0.025495,-172.051229,0.424548,13.850268,13.850268
1,17,1.335071,48.849171,360.266876,318.044128,4,260,0.612143,0.79839,5.262499,0.59409,921,0.64729,3.350509,3.465177,0.163297,257,3.191666,0.588906,2.852357,0.150855,288,5.003108,0.423611,1.146995,0.091757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.253555,54.363176,43.48986,,,,,,,54.681681,38.436346,,,,,,,45.298031,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000768,0.000769,0.000788,3.444725,2.302481,3.389895,2.638085,,,,,,,1.142244,0.054831,0.80664,,,,,,,1.087413,0.335604,,,,,,,0.751809,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052998,0.220971,0.973839,-404.364782,1.34184,12.44357,-12.44357
2,0,0.0,0.0,324.0,312.0,4,260,0.612143,0.79839,5.262499,0.776836,288,5.003108,0.423611,1.146995,0.214689,391,2.874435,0.653539,3.711879,0.00565,755,0.744976,3.473729,3.838328,0.002825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48986,33.124695,36.733752,,,,,,,58.662727,,,,,,,,41.564221,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002433,0.002568,0.002677,3.444725,2.638085,3.42137,2.629798,,,,,,,0.80664,0.023355,0.814927,,,,,,,0.783285,,,,,,,,0.791572,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.694268,0.715635,-0.076541,-210.268047,0.767567,2.283099,-2.283099
2,29,0.786905,42.850296,329.278625,307.651642,4,260,0.612143,0.79839,5.262499,0.964063,288,5.003108,0.423611,1.146995,0.017188,257,3.191666,0.588906,2.852357,0.015625,921,0.64729,3.350509,3.465177,0.003125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48986,54.363176,53.253555,,,,,,,45.298031,38.436346,,,,,,,54.681681,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001737,0.001812,0.001871,3.444725,2.638085,3.389895,2.302481,,,,,,,0.80664,0.054831,1.142244,,,,,,,0.751809,0.335604,,,,,,,1.087413,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.789298,-0.547722,0.277506,86.533364,0.308164,25.377043,25.377043
2,43,1.554242,58.109829,371.037964,316.832062,4,260,0.612143,0.79839,5.262499,0.605965,257,3.191666,0.588906,2.852357,0.215071,921,0.64729,3.350509,3.465177,0.156986,288,5.003108,0.423611,1.146995,0.021978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.363176,53.253555,43.48986,,,,,,,54.681681,45.298031,,,,,,,38.436346,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002527,0.002603,0.002655,3.444725,3.389895,2.302481,2.638085,,,,,,,0.054831,1.142244,0.80664,,,,,,,1.087413,0.751809,,,,,,,0.335604,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.890647,-0.366079,0.269693,10.011642,0.374144,11.385168,11.385168
2,56,2.540079,41.297123,432.168243,305.419952,8,257,3.191666,0.588906,2.852357,0.332813,393,3.674895,0.427056,3.104679,0.259375,260,0.612143,0.79839,5.262499,0.21875,289,0.583617,0.049955,5.168513,0.171875,286,4.753474,0.293662,1.683838,0.004687,337,3.406359,0.574217,3.628417,0.004687,540,3.38559,3.765373,5.859594,0.004687,288,5.003108,0.423611,1.146995,0.003125,,,,,,,,,,,41.936543,54.363176,39.609155,40.863344,,40.540449,45.298031,,,39.990435,41.223331,31.508081,19.854846,18.322525,50.271209,,,43.422117,54.654606,,,43.48986,,,43.554355,,,,,,,49.473177,19.478905,,,5.452094,51.271982,,,55.800525,,,,,,0.001531,0.001537,0.001544,3.389895,2.806577,3.444725,2.440328,2.546678,3.234572,3.380761,2.638085,,,0.583318,0.054831,0.949566,0.843217,,0.009134,0.751809,,,0.638149,0.366248,0.259899,0.427995,0.574184,0.168491,,,1.004397,0.898048,,,0.80664,,,0.106349,,,,,,,0.834083,0.091408,,,0.146189,0.596487,,,0.742676,,,,,,0.636391,-0.678497,0.366944,157.495982,1.367203,2.624262,2.624262
3,0,0.0,0.0,300.0,300.0,5,260,0.612143,0.79839,5.262499,0.793785,391,2.874435,0.653539,3.711879,0.141243,394,1.624092,0.189887,4.091087,0.050847,288,5.003108,0.423611,1.146995,0.011299,755,0.744976,3.473729,3.838328,0.002825,,,,,,,,,,,,,,,,,,,,,,,,,,33.124695,42.724232,43.48986,36.733752,,,,,,55.541448,58.662727,41.564221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005999,0.005999,0.006019,3.444725,3.42137,2.386477,2.638085,2.629798,,,,,,0.023355,1.058248,0.80664,0.814927,,,,,,1.034893,0.783285,0.791572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.514454,-0.816655,0.261555,158.573166,0.656533,7.956837,-7.956837
3,10,0.642588,53.925987,299.96167,300.112213,2,260,0.612143,0.79839,5.262499,0.945073,394,1.624092,0.189887,4.091087,0.054927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.724232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004497,0.0047,0.005076,3.444725,2.386477,,,,,,,,,1.058248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.513714,-0.822693,0.243462,180.045819,1.230137,21.367166,-21.367166
3,30,1.971253,83.752541,407.455109,306.2341,2,260,0.612143,0.79839,5.262499,0.985893,257,3.191666,0.588906,2.852357,0.014107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.363176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002147,0.002151,0.002161,3.444725,3.389895,,,,,,,,,0.054831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.958579,-0.115937,0.260164,-88.548585,0.576805,24.166803,24.166803
