crack_id, arr_index, theta, x, y, z, num_xtal, grain_id_1, phi1_1, Phi_1, phi2_1, weight_1, grain_id_2, phi1_2, Phi_2, phi2_2, weight_2, grain_id_3, phi1_3, Phi_3, phi2_3, weight_3, grain_id_4, phi1_4, Phi_4, phi2_4, weight_4, grain_id_5, phi1_5, Phi_5, phi2_5, weight_5, grain_id_6, phi1_6, Phi_6, phi2_6, weight_6, grain_id_7, phi1_7, Phi_7, phi2_7, weight_7, grain_id_8, phi1_8, Phi_8, phi2_8, weight_8, grain_id_9, phi1_9, Phi_9, phi2_9, weight_9, grain_id_10, phi1_10, Phi_10, phi2_10, weight_10, mis_1to2, mis_1to3, mis_1to4, mis_1to5, mis_1to6, mis_1to7, mis_1to8, mis_1to9, mis_1to10, mis_2to3, mis_2to4, mis_2to5, mis_2to6, mis_2to7, mis_2to8, mis_2to9, mis_2to10, mis_3to4, mis_3to5, mis_3to6, mis_3to7, mis_3to8, mis_3to9, mis_3to10, mis_4to5, mis_4to6, mis_4to7, mis_4to8, mis_4to9, mis_4to10, mis_5to6, mis_5to7, mis_5to8, mis_5to9, mis_5to10, mis_6to7, mis_6to8, mis_6to9, mis_6to10, mis_7to8, mis_7to9, mis_7to10, mis_8to9, mis_8to10, mis_9to10, dadN2D, dadN3Dline, dadNpath, tf_1, tf_2, tf_3, tf_4, tf_5, tf_6, tf_7, tf_8, tf_9, tf_10, tf_1to2, tf_1to3, tf_1to4, tf_1to5, tf_1to6, tf_1to7, tf_1to8, tf_1to9, tf_1to10, tf_2to3, tf_2to4, tf_2to5, tf_2to6, tf_2to7, tf_2to8, tf_2to9, tf_2to10, tf_3to4, tf_3to5, tf_3to6, tf_3to7, tf_3to8, tf_3to9, tf_3to10, tf_4to5, tf_4to6, tf_4to7, tf_4to8, tf_4to9, tf_4to10, tf_5to6, tf_5to7, tf_5to8, tf_5to9, tf_5to10, tf_6to7, tf_6to8, tf_6to9, tf_6to10, tf_7to8, tf_7to9, tf_7to10, tf_8to9, tf_8to10, tf_9to10, a, b, c, d, angle_gb, dist_gb, signed_dist_gb
1,0,0.0,0.0,336.0,306.0,2,260,0.612143,0.79839,5.262499,0.565728,288,5.003108,0.423611,1.146995,0.434272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001257,0.00126,0.001286,3.444725,2.638085,,,,,,,,,0.80664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.674309,0.734027,-0.080695,-215.723655,0.746563,6.216747,6.216747
1,11,2.53179,29.323456,413.973114,305.182068,8,257,3.191666,0.588906,2.852357,0.469737,393,3.674895,0.427056,3.104679,0.230263,288,5.003108,0.423611,1.146995,0.157895,260,0.612143,0.79839,5.262499,0.064474,540,3.38559,3.765373,5.859594,0.039474,337,3.406359,0.574217,3.628417,0.023684,289,0.583617,0.049955,5.168513,0.010526,286,4.753474,0.293662,1.683838,0.003947,,,,,,,,,,,41.936543,45.298031,54.363176,40.540449,,39.609155,40.863344,,,50.271209,39.990435,18.322525,19.854846,41.223331,31.508081,,,43.48986,55.800525,51.271982,,19.478905,,,,,43.422117,54.654606,,,5.452094,,49.473177,,,,,,,43.554355,,,,,,0.00166,0.00169,0.001711,3.389895,2.806577,2.638085,3.444725,3.380761,3.234572,2.440328,2.546678,,,0.583318,0.751809,0.054831,0.009134,,0.949566,0.843217,,,0.168491,0.638149,0.574184,0.427995,0.366248,0.259899,,,0.80664,0.742676,0.596487,,0.091408,,,,,1.004397,0.898048,,,0.146189,,0.834083,,,,,,,0.106349,,,,,,-0.642328,0.676708,-0.359834,-158.370666,1.376987,6.881911,-6.881911
1,19,1.442453,48.138161,365.787628,317.945984,4,260,0.612143,0.79839,5.262499,0.508043,257,3.191666,0.588906,2.852357,0.215818,921,0.64729,3.350509,3.465177,0.160858,288,5.003108,0.423611,1.146995,0.115282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.363176,53.253555,43.48986,,,,,,,54.681681,45.298031,,,,,,,38.436346,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001173,0.001184,0.001197,3.444725,3.389895,2.302481,2.638085,,,,,,,0.054831,1.142244,0.80664,,,,,,,1.087413,0.751809,,,,,,,0.335604,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87733,-0.423812,0.225112,46.659269,0.313137,5.440592,5.440592
2,0,0.0,0.0,324.0,312.0,4,260,0.612143,0.79839,5.262499,0.767606,288,5.003108,0.423611,1.146995,0.223005,391,2.874435,0.653539,3.711879,0.007042,755,0.744976,3.473729,3.838328,0.002347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48986,33.124695,36.733752,,,,,,,58.662727,,,,,,,,41.564221,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002433,0.002568,0.002677,3.444725,2.638085,3.42137,2.629798,,,,,,,0.80664,0.023355,0.814927,,,,,,,0.783285,,,,,,,,0.791572,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.635569,0.770072,-0.055141,-235.658963,0.690441,3.359628,-3.359628
2,15,1.655579,58.26329,376.951599,311.161682,4,260,0.612143,0.79839,5.262499,0.620915,257,3.191666,0.588906,2.852357,0.271895,921,0.64729,3.350509,3.465177,0.090196,288,5.003108,0.423611,1.146995,0.016993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.363176,53.253555,43.48986,,,,,,,54.681681,45.298031,,,,,,,38.436346,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002616,0.002628,0.002719,3.444725,3.389895,2.302481,2.638085,,,,,,,0.054831,1.142244,0.80664,,,,,,,1.087413,0.751809,,,,,,,0.335604,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.937125,-0.329818,0.114092,43.213697,0.421801,8.989318,8.989318
2,30,0.852014,47.42104,330.51059,305.031708,4,260,0.612143,0.79839,5.262499,0.967192,257,3.191666,0.588906,2.852357,0.015748,288,5.003108,0.423611,1.146995,0.011811,921,0.64729,3.350509,3.465177,0.005249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.363176,43.48986,53.253555,,,,,,,45.298031,54.681681,,,,,,,38.436346,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001425,0.001449,0.001482,3.444725,3.389895,2.638085,2.302481,,,,,,,0.054831,0.80664,1.142244,,,,,,,0.751809,1.087413,,,,,,,0.335604,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.159814,0.955755,0.246967,-409.678906,0.717703,26.037526,-26.037526
2,57,2.705957,30.942484,438.477295,306.3703,8,393,3.674895,0.427056,3.104679,0.278215,257,3.191666,0.588906,2.852357,0.242782,289,0.583617,0.049955,5.168513,0.206037,286,4.753474,0.293662,1.683838,0.141732,260,0.612143,0.79839,5.262499,0.073491,540,3.38559,3.765373,5.859594,0.03937,337,3.406359,0.574217,3.628417,0.013123,288,5.003108,0.423611,1.146995,0.005249,,,,,,,,,,,41.936543,41.223331,31.508081,39.990435,18.322525,19.854846,50.271209,,,39.609155,40.863344,54.363176,40.540449,,45.298031,,,43.554355,43.422117,,,,,,54.654606,49.473177,,19.478905,,,,,43.48986,,,5.452094,55.800525,,,51.271982,,,,,,0.001678,0.001837,0.001971,2.806577,3.389895,2.440328,2.546678,3.444725,3.380761,3.234572,2.638085,,,0.583318,0.366248,0.259899,0.638149,0.574184,0.427995,0.168491,,,0.949566,0.843217,0.054831,0.009134,,0.751809,,,0.106349,1.004397,,,,,,0.898048,0.834083,,0.091408,,,,,0.80664,,,0.146189,0.742676,,,0.596487,,,,,,0.611926,-0.677684,0.407787,145.42915,1.208843,7.851564,-7.851564
3,0,0.0,0.0,300.0,300.0,5,260,0.612143,0.79839,5.262499,0.776995,391,2.874435,0.653539,3.711879,0.143192,394,1.624092,0.189887,4.091087,0.061033,288,5.003108,0.423611,1.146995,0.016432,755,0.744976,3.473729,3.838328,0.002347,,,,,,,,,,,,,,,,,,,,,,,,,,33.124695,42.724232,43.48986,36.733752,,,,,,55.541448,58.662727,41.564221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005999,0.005999,0.006019,3.444725,3.42137,2.386477,2.638085,2.629798,,,,,,0.023355,1.058248,0.80664,0.814927,,,,,,1.034893,0.783285,0.791572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.470762,-0.837486,0.277489,159.46518,0.623998,8.533921,-8.533921
3,11,0.686768,54.154312,305.951477,300.34082,2,260,0.612143,0.79839,5.262499,0.973154,394,1.624092,0.189887,4.091087,0.026846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.724232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004566,0.004835,0.005146,3.444725,2.386477,,,,,,,,,1.058248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.502474,-0.837702,0.21395,193.963939,1.251035,25.285449,-25.285449
3,33,2.125015,76.700119,419.471649,306.020782,3,260,0.612143,0.79839,5.262499,0.923077,257,3.191666,0.588906,2.852357,0.067797,289,0.583617,0.049955,5.168513,0.009126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.363176,43.422117,,,,,,,,39.609155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002329,0.002345,0.002363,3.444725,3.389895,2.440328,,,,,,,,0.054831,1.004397,,,,,,,,0.949566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.980426,0.114881,-0.159897,-52.390889,0.4644,22.065421,22.065421
