crack_id, arr_index, theta, x, y, z, num_xtal, grain_id_1, phi1_1, Phi_1, phi2_1, weight_1, grain_id_2, phi1_2, Phi_2, phi2_2, weight_2, grain_id_3, phi1_3, Phi_3, phi2_3, weight_3, grain_id_4, phi1_4, Phi_4, phi2_4, weight_4, grain_id_5, phi1_5, Phi_5, phi2_5, weight_5, grain_id_6, phi1_6, Phi_6, phi2_6, weight_6, grain_id_7, phi1_7, Phi_7, phi2_7, weight_7, grain_id_8, phi1_8, Phi_8, phi2_8, weight_8, grain_id_9, phi1_9, Phi_9, phi2_9, weight_9, grain_id_10, phi1_10, Phi_10, phi2_10, weight_10, mis_1to2, mis_1to3, mis_1to4, mis_1to5, mis_1to6, mis_1to7, mis_1to8, mis_1to9, mis_1to10, mis_2to3, mis_2to4, mis_2to5, mis_2to6, mis_2to7, mis_2to8, mis_2to9, mis_2to10, mis_3to4, mis_3to5, mis_3to6, mis_3to7, mis_3to8, mis_3to9, mis_3to10, mis_4to5, mis_4to6, mis_4to7, mis_4to8, mis_4to9, mis_4to10, mis_5to6, mis_5to7, mis_5to8, mis_5to9, mis_5to10, mis_6to7, mis_6to8, mis_6to9, mis_6to10, mis_7to8, mis_7to9, mis_7to10, mis_8to9, mis_8to10, mis_9to10, dadN2D, dadN3Dline, dadNpath, tf_1, tf_2, tf_3, tf_4, tf_5, tf_6, tf_7, tf_8, tf_9, tf_10, tf_1to2, tf_1to3, tf_1to4, tf_1to5, tf_1to6, tf_1to7, tf_1to8, tf_1to9, tf_1to10, tf_2to3, tf_2to4, tf_2to5, tf_2to6, tf_2to7, tf_2to8, tf_2to9, tf_2to10, tf_3to4, tf_3to5, tf_3to6, tf_3to7, tf_3to8, tf_3to9, tf_3to10, tf_4to5, tf_4to6, tf_4to7, tf_4to8, tf_4to9, tf_4to10, tf_5to6, tf_5to7, tf_5to8, tf_5to9, tf_5to10, tf_6to7, tf_6to8, tf_6to9, tf_6to10, tf_7to8, tf_7to9, tf_7to10, tf_8to9, tf_8to10, tf_9to10, a, b, c, d, angle_gb, dist_gb, signed_dist_gb
1,0,0.0,0.0,336.0,306.0,2,288,5.003108,0.423611,1.146995,0.565789,260,0.612143,0.79839,5.262499,0.434211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001257,0.00126,0.001286,2.638085,3.444725,,,,,,,,,0.80664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.919106,0.363789,-0.151331,-69.614994,1.198464,6.310826,6.310826
1,4,1.917014,48.209965,389.391663,306.880829,3,257,3.191666,0.588906,2.852357,0.700935,260,0.612143,0.79839,5.262499,0.28972,288,5.003108,0.423611,1.146995,0.009346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.363176,45.298031,,,,,,,,43.48986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000834,0.000842,0.000848,3.389895,3.444725,2.638085,,,,,,,,0.054831,0.751809,,,,,,,,0.80664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.892299,0.451111,-0.017359,-123.068213,0.814175,4.245802,4.245802
1,11,2.53179,29.323456,413.973114,305.182068,5,257,3.191666,0.588906,2.852357,0.691589,393,3.674895,0.427056,3.104679,0.17757,288,5.003108,0.423611,1.146995,0.093458,337,3.406359,0.574217,3.628417,0.028037,540,3.38559,3.765373,5.859594,0.009346,,,,,,,,,,,,,,,,,,,,,,,,,,41.936543,45.298031,,40.540449,,,,,,50.271209,19.854846,18.322525,,,,,,51.271982,55.800525,,,,,,5.452094,,,,,,,,,,,,,,,,,,,,,0.00166,0.00169,0.001711,3.389895,2.806577,2.638085,3.234572,3.380761,,,,,,0.583318,0.751809,,0.009134,,,,,,0.168491,0.427995,0.574184,,,,,,0.596487,0.742676,,,,,,0.146189,,,,,,,,,,,,,,,,,,,,,0.656665,-0.461416,0.596562,-4.337529,1.559092,5.964365,5.964365
1,19,1.442453,48.138161,365.787628,317.945984,4,260,0.612143,0.79839,5.262499,0.62037,257,3.191666,0.588906,2.852357,0.240741,921,0.64729,3.350509,3.465177,0.12963,288,5.003108,0.423611,1.146995,0.009259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.363176,53.253555,43.48986,,,,,,,54.681681,45.298031,,,,,,,38.436346,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001173,0.001184,0.001197,3.444725,3.389895,2.302481,2.638085,,,,,,,0.054831,1.142244,0.80664,,,,,,,1.087413,0.751809,,,,,,,0.335604,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.618518,0.041918,-0.784652,259.056752,0.662614,4.861433,-4.861433
1,25,0.69196,29.431698,336.481812,310.756683,2,260,0.612143,0.79839,5.262499,0.963303,288,5.003108,0.423611,1.146995,0.036697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001758,0.001872,0.001947,3.444725,2.638085,,,,,,,,,0.80664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.482044,-0.73162,0.482044,94.780404,0.413391,12.589344,12.589344
1,30,3.052458,5.878739,437.778839,306.105133,4,286,4.753474,0.293662,1.683838,0.426966,393,3.674895,0.427056,3.104679,0.382022,540,3.38559,3.765373,5.859594,0.179775,289,0.583617,0.049955,5.168513,0.011236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.508081,49.473177,43.554355,,,,,,,18.322525,41.223331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002266,0.002282,0.002304,2.546678,2.806577,3.380761,2.440328,,,,,,,0.259899,0.834083,0.106349,,,,,,,0.574184,0.366248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.647777,-0.7599,-0.054199,343.83011,0.796371,1.620509,-1.620509
2,0,0.0,0.0,324.0,312.0,2,260,0.612143,0.79839,5.262499,0.855263,288,5.003108,0.423611,1.146995,0.144737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.48986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002433,0.002568,0.002677,3.444725,2.638085,,,,,,,,,0.80664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.628164,-0.767268,0.129265,217.983999,0.680312,9.719849,9.719849
2,8,2.214814,49.0812,408.850555,306.093109,2,257,3.191666,0.588906,2.852357,0.690909,260,0.612143,0.79839,5.262499,0.309091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.363176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003295,0.003298,0.003375,3.389895,3.444725,,,,,,,,,0.054831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.929146,0.023075,-0.368992,52.99839,0.713123,4.909692,-4.909692
2,15,1.655579,58.26329,376.951599,311.161682,2,260,0.612143,0.79839,5.262499,0.77193,257,3.191666,0.588906,2.852357,0.22807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.363176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002616,0.002628,0.002719,3.444725,3.389895,,,,,,,,,0.054831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.891025,0.240569,-0.384969,73.903559,0.455721,7.115221,-7.115221
2,17,1.258766,53.95887,354.594635,323.59317,3,260,0.612143,0.79839,5.262499,0.666667,921,0.64729,3.350509,3.465177,0.287037,257,3.191666,0.588906,2.852357,0.046296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.253555,54.363176,,,,,,,,54.681681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002392,0.002515,0.002676,3.444725,2.302481,3.389895,,,,,,,,1.142244,0.054831,,,,,,,,1.087413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.170029,0.985439,-383.895258,1.326168,4.722557,-4.722557
